id,code,title
590,2158,"Round Corner"
591,2159,"Arcadia"
592,2159,"Berrilee"
593,2159,"Fiddletown"
594,2159,"Galston"
595,2160,"Merrylands"
596,2160,"Merrylands West"
597,2161,"Guildford"
598,2161,"Guildford West"
599,2161,"Old Guildford"
600,2161,"Yennora"
601,2162,"Chester Hill"
602,2162,"Sefton"
603,2163,"Carramar"
604,2163,"Lansdowne"
605,2163,"Villawood"
15336,2164,"Horsley Park"
606,2164,"Smithfield"
607,2164,"Smithfield West"
608,2164,"Wetherill Park"
609,2164,"Woodpark"
610,2165,"Fairfield"
611,2165,"Fairfield East"
612,2165,"Fairfield Heights"
613,2165,"Fairfield West"
614,2166,"Cabramatta"
615,2166,"Cabramatta West"
616,2166,"Canley Heights"
617,2166,"Canley Vale"
618,2166,"Lansvale"
619,2167,"Glenfield"
620,2168,"Ashcroft"
621,2168,"Busby"
622,2168,"Cartwright"
623,2168,"Green Valley"
624,2168,"Heckenberg"
625,2168,"Hinchinbrook"
626,2168,"Miller"
627,2168,"Sadleir"
628,2170,"Casula"
629,2170,"Casula Mall"
630,2170,"Chipping Norton"
631,2170,"Hammondville"
632,2170,"Liverpool"
633,2170,"Liverpool South"
634,2170,"Liverpool Westfield"
635,2170,"Lurnea"
636,2170,"Moorebank"
637,2170,"Mount Pritchard"
638,2170,"Prestons"
639,2170,"Warwick Farm"
15374,2171,"Badgerys Creek"
640,2171,"Cecil Hills"
15372,2171,"Cecil Park"
641,2171,"Horningsea Park"
642,2171,"Hoxton Park"
15362,2171,"Kemps Creek"
15339,2171,"Leppington"
15358,2171,"Pleasure Point"
15348,2171,"Voyager Point"
643,2171,"West Hoxton"
644,2173,"Holsworthy"
645,2173,"Wattle Grove"
646,2174,"Edmondson Park"
647,2176,"Abbotsbury"
648,2176,"Bossley Park"
649,2176,"Edensor Park"
650,2176,"Greenfield Park"
651,2176,"Prairiewood"
652,2176,"St Johns Park"
653,2176,"Wakeley"
654,2177,"Bonnyrigg"
655,2177,"Bonnyrigg Heights"
15342,2179,"Austral"
656,2190,"Chullora"
657,2190,"Greenacre"
658,2190,"Mount Lewis"
659,2191,"Belfield"
660,2192,"Belmore"
661,2193,"Ashbury"
662,2193,"Canterbury"
663,2193,"Hurlstone Park"
664,2194,"Campsie"
665,2195,"Lakemba"
666,2195,"Wiley Park"
667,2196,"Punchbowl"
668,2196,"Roselands"
669,2197,"Bass Hill"
670,2198,"Georges Hall"
